kpi_name,denom_kpi
call_drop_ratio,dcr_2g_demon
call_quality_dl,Not Applicable
call_quality_ul,Not Applicable
call_setup_ratio,cssr_2g_denom
dl_multislot_allocation_blocking,Not Applicable
tbf_establishment_success_ratio,number_of_tbf
tch_availability,tch_assignments
ul_multislot_allocation_blocking,Not Applicable
total_handover_success_ratio,total_handover_attempts
availability,Not Applicable
call_setup_success_ratio,call_setup_attempts
hsdpa_accessibility,hsdpa_attempts
hsdpa_retainability,hsdpa_releases
hsdpa_serving_cell_change_success_ratio,total_hsdpa_serving_cell_change
hsupa_accessibility,hsupa_attempts
hsupa_retainability,hsupa_releases
hsupa_serving_cell_change_success_ratio,total_hsupa_serving_cell_change
isho_rt_success_ratio,isho_rt_attempts
soft_handover_rt_success_ratio,soft_handover_rt_updates
iu_availability,Not Applicable
packet_session_setup_success_ratio,packet_session_setup_attempts
rab_cs_retainability,rab_cs_releases
rab_ps_accessibility,rab_ps_attempts
registration_success_ratio,registration_attempts
rrc_accessibility,rrc_attempts
voice_dl_bler,Not Applicable
voice_ul_bler,Not Applicable
average_cqi,Not Applicable
average_latency_downlink,Not Applicable
average_latency_uplink,Not Applicable
average_sinr_pucch,Not Applicable
ienb_s1_total_ho_suc_ratio,ienb_s1_total_ho_failures
ienb_x2_total_ho_suc_ratio,ienb_x2_total_ho_failures
intra_enb_total_ho_suc_ratio,intra_enb_total_ho_failures
irat_lte_2g_ho_suc_ratio,Not Applicable
irat_lte_3g_ho_suc_ratio,Not Applicable
lte_availability,Not Applicable
rab_retainability,rab_releases
rrc_accessibility,rrc_failures
