service_class,kpi_name,denom_kpi
2gBscArea,call_drop_ratio,traffic_cs_total
2gBscArea,call_quality_dl,None
2gBscArea,call_quality_ul,None
2gBscArea,call_setup_ratio,traffic_cs_total
2gBscArea,dl_multislot_allocation_blocking,None
2gBscArea,tbf_establishment_success_ratio,number_of_tbf
2gBscArea,tch_availability,tch_assignments
2gBscArea,ul_multislot_allocation_blocking,None
2gBtsSite,call_drop_ratio,traffic_cs_total
2gBtsSite,call_quality_dl,None
2gBtsSite,call_quality_ul,None
2gBtsSite,call_setup_ratio,traffic_cs_total
2gBtsSite,dl_multislot_allocation_blocking,None
2gBtsSite,tbf_establishment_success_ratio,number_of_tbf
2gBtsSite,tch_availability,tch_assignments
2gBtsSite,ul_multislot_allocation_blocking,None
2gRadioCell,call_drop_ratio,traffic_cs_total
2gRadioCell,call_quality_dl,None
2gRadioCell,call_quality_ul,None
2gRadioCell,call_setup_ratio,traffic_cs_total
2gRadioCell,dl_multislot_allocation_blocking,None
2gRadioCell,tbf_establishment_success_ratio,number_of_tbf
2gRadioCell,tch_availability,tch_assignments
2gRadioCell,ul_multislot_allocation_blocking,None
3gRadioCell,call_setup_success_ratio,call_setup_attempts
3gRadioCell,hsdpa_accessibility,hsdpa_attempts
3gRadioCell,hsdpa_retainability,hsdpa_releases
3gRadioCell,hsdpa_serving_cell_change_success_ratio,total_hsdpa_serving_cell_change
3gRadioCell,hsupa_accessibility,hsupa_attempts
3gRadioCell,hsupa_retainability,hsupa_releases
3gRadioCell,hsupa_serving_cell_change_success_ratio,total_hsupa_serving_cell_change
3gRadioCell,isho_nrt_success_ratio,isho_nrt_attempts
3gRadioCell,iu_cell_availability,None
3gRadioCell,packet_session_setup_success_ratio,packet_session_setup_attempts
3gRadioCell,rab_cs_retainability,rab_cs_releases
3gRadioCell,rab_ps_accessibility,rab_ps_attempts
3gRadioCell,registration_success_ratio,registration_attempts
3gRadioCell,rrc_accessibility,rrc_attempts
3gRadioCell,soft_handover_nrt_success_ratio,soft_handover_nrt_updates
3gRadioCell,voice_dl_bler,None
3gRadioCell,voice_ul_bler,None
3gRanArea,availability,None
3gRanArea,call_setup_success_ratio,call_setup_attempts
3gRanArea,hsdpa_accessibility,hsdpa_attempts
3gRanArea,hsdpa_retainability,hsdpa_releases
3gRanArea,hsdpa_serving_cell_change_success_ratio,total_hsdpa_serving_cell_change
3gRanArea,hsupa_accessibility,hsupa_attempts
3gRanArea,hsupa_retainability,hsupa_releases
3gRanArea,hsupa_serving_cell_change_success_ratio,total_hsupa_serving_cell_change
3gRanArea,isho_nrt_success_ratio,isho_nrt_attempts
3gRanArea,iu_availability,None
3gRanArea,packet_session_setup_success_ratio,packet_session_setup_attempts
3gRanArea,rab_cs_retainability,rab_cs_releases
3gRanArea,rab_ps_accessibility,rab_ps_attempts
3gRanArea,registration_success_ratio,registration_attempts
3gRanArea,rrc_accessibility,rrc_attempts
3gRanArea,soft_handover_nrt_success_ratio,soft_handover_nrt_updates
3gRanArea,voice_dl_bler,None
3gRanArea,voice_ul_bler,None
3gRanSite,call_setup_success_ratio,call_setup_attempts
3gRanSite,hsdpa_accessibility,hsdpa_attempts
3gRanSite,hsdpa_retainability,hsdpa_releases
3gRanSite,hsdpa_serving_cell_change_success_ratio,total_hsdpa_serving_cell_change
3gRanSite,hsupa_accessibility,hsupa_attempts
3gRanSite,hsupa_retainability,hsupa_releases
3gRanSite,hsupa_serving_cell_change_success_ratio,total_hsupa_serving_cell_change
3gRanSite,isho_nrt_success_ratio,isho_nrt_attempts
3gRanSite,iu_cell_availability,None
3gRanSite,packet_session_setup_success_ratio,packet_session_setup_attempts
3gRanSite,rab_cs_retainability,rab_cs_releases
3gRanSite,rab_ps_accessibility,rab_ps_attempts
3gRanSite,registration_success_ratio,registration_attempts
3gRanSite,rrc_accessibility,rrc_attempts
3gRanSite,soft_handover_nrt_success_ratio,soft_handover_nrt_updates
3gRanSite,voice_dl_bler,None
3gRanSite,voice_ul_bler,None
LteArea,average_cqi,None
LteArea,average_latency_downlink,None
LteArea,average_latency_uplink,None
LteArea,average_sinr_pucch,None
LteArea,ienb_s1_total_ho_suc_ratio,ienb_s1_total_ho_failures
LteArea,ienb_x2_total_ho_suc_ratio,ienb_x2_total_ho_failures
LteArea,intra_enb_total_ho_suc_ratio,intra_enb_total_ho_failures
LteArea,irat_lte_2g_ho_suc_ratio,None
LteArea,irat_lte_3g_ho_suc_ratio,None
LteArea,lte_availability,None
LteArea,rab_retainability,rab_releases
LteArea,rrc_accessibility,rrc_failures
LteCell,average_cqi,None
LteCell,average_latency_downlink,None
LteCell,average_latency_uplink,None
LteCell,average_sinr_pucch,None
LteCell,ienb_s1_total_ho_suc_ratio,ienb_s1_total_ho_failures
LteCell,ienb_x2_total_ho_suc_ratio,ienb_x2_total_ho_failures
LteCell,intra_enb_total_ho_suc_ratio,intra_enb_total_ho_failures
LteCell,irat_lte_2g_ho_suc_ratio,None
LteCell,irat_lte_3g_ho_suc_ratio,None
LteCell,lte_cell_availability,None
LteCell,rab_retainability,rab_releases
LteCell,rrc_accessibility,rrc_failures
LteSite,average_cqi,None
LteSite,average_latency_downlink,None
LteSite,average_latency_uplink,None
LteSite,average_sinr_pucch,None
LteSite,ienb_s1_total_ho_suc_ratio,ienb_s1_total_ho_failures
LteSite,ienb_x2_total_ho_suc_ratio,ienb_x2_total_ho_failures
LteSite,intra_enb_total_ho_suc_ratio,intra_enb_total_ho_failures
LteSite,irat_lte_2g_ho_suc_ratio,None
LteSite,irat_lte_3g_ho_suc_ratio,None
LteSite,lte_availability,None
LteSite,rab_retainability,rab_releases
LteSite,rrc_accessibility,rrc_failures
