value_stream_id,valud_stream_name,operation,operation_sub_group
1.11,Customer Experience Analysis,OP_CX,OP_CX_01
1.12,Customer Experience Digitalization,OP_CX,OP_CX_01
1.13,Personalize Customer Interaction,OP_CX,OP_CX_01
1.14,Customer Interaction Management,OP_CX,OP_CX_01
1.15,Loyalty Program Management,OP_CX,OP_CX_01
1.16,Customer Experience Modelling,OP_CX,OP_CX_01
1.17,Customer Trust,OP_CX,OP_CX_01
1.21,Customer Information Collection,OP_CX,OP_CX_02
1.31,Recommended Action Result Analysis,OP_CX,OP_CX_04
1.32,Customer Support Guiding,OP_CX,OP_CX_04
1.33,Customer Behaviour Prediction,OP_CX,OP_CX_04
1.41,Customer Order Validation,OP_CX,OP_CX_03
1.42,Customer Order Management,OP_CX,OP_CX_03
1.43,Customer Order Completion,OP_CX,OP_CX_03
1.51,B2B2x Partner Management,OP_OT,OP_OT_01
1.52,B2B2x Partner Value Measurement,OP_OT,OP_OT_01
1.61,Employee Satisfaction,OP_OT,OP_OT_02
1.62,Employee Productivity,OP_OT,OP_OT_02
1.71,Smart IoT Adoption,OP_OT,OP_OT_03
1.72,Smart IoT Management,OP_OT,OP_OT_03
1.73,Smart IoT Communication,OP_OT,OP_OT_03
10.1,Network Capacity Management,OP_NO,OP_NO_01
10.2,Network Traffic Management,OP_NO,OP_NO_06
10.3,2G Radio Network Optimization,OP_NO,OP_NO_02
10.4,3G Radio Network Optimization,OP_NO,OP_NO_02
10.5,4G Radio Network Optimization,OP_NO,OP_NO_02
10.6,Core Optimization,OP_NO,OP_NO_03
10.7,IP Network Optimization,OP_NO,OP_NO_04
10.8,QoE Optimization,OP_NO,OP_NO_05
11.42,Anomaly Detection,OP_NO,OP_NO_07
11.43,Anomaly Prediction,OP_NO,OP_NO_07
11.44,Anomaly Mitigation,OP_NO,OP_NO_07
12.2,AO Platform Architecture Framework,OP_AO,OP_AO_01
12.3,AO Resource Management,OP_AO,OP_AO_01
12.4,AO Technology Lifecycle Management,OP_AO,OP_AO_01
12.5,AO Innovation Culture,OP_AO,OP_AO_02
12.6,AO Quality Culture,OP_AO,OP_AO_02
12.7,Forster AO Culture,OP_AO,OP_AO_02
12.8,AO Centricity,OP_AO,OP_AO_02
12.9,AO Workplace Enablement,OP_AO,OP_AO_02
2.1,Work Order Assignment and Plan,OP_FO,OP_FO_02
2.2,Work Order Establishment,OP_FO,OP_FO_02
2.3,Work Order Tracking and Business Value,OP_FO,OP_FO_02
2.4,Vehicle Fleet Management,OP_FO,OP_FO_01
3.1,Location Management,OP_IM,OP_IM_01
3.10,Logistic Availability,OP_IM,OP_IM_02
3.2,Network Audit and Discovery,OP_IM,OP_IM_01
